CIN,COMPANY_NAME,STATE,SOURCE,FIELD,SOURCE_URL
U29190GJ2011PTC064251,N-SQUARE CONMAT PRIVATE LIMITED,Delhi,ZaubaCorp,"Director info, Sector classification",https://www.zaubacorp.com/company/U29190GJ2011PTC064251
U29190GJ2016PTC093223,YIZUMI PRECISION MACHINERY (INDIA) PRIVATE LIMITED,Delhi,ZaubaCorp,"Director info, Sector classification",https://www.zaubacorp.com/company/U29190GJ2016PTC093223
U29199GJ1987PLC010071,NATIONAL FLASK INDUSTRIES LTD,Delhi,ZaubaCorp,"Director info, Sector classification",https://www.zaubacorp.com/company/U29199GJ1987PLC010071
U29199GJ1994PTC023091,VED STEEL AND ENGINEERING PVT LTD,Delhi,ZaubaCorp,"Director info, Sector classification",https://www.zaubacorp.com/company/U29199GJ1994PTC023091
U29199GJ1995PTC025239,SIGMA INSTRUMENTS PVT LTD,Delhi,ZaubaCorp,"Director info, Sector classification",https://www.zaubacorp.com/company/U29199GJ1995PTC025239
U29199GJ1997FTC032397,KHS MACHINERY PRIVATE LIMITED,Delhi,ZaubaCorp,"Director info, Sector classification",https://www.zaubacorp.com/company/U29199GJ1997FTC032397
U29199GJ2005PTC046888,NISUKA HYDRAULICS PRIVATE LIMITED,Delhi,ZaubaCorp,"Director info, Sector classification",https://www.zaubacorp.com/company/U29199GJ2005PTC046888
U29199GJ2006PTC049105,HARIOM EQUIPMENTS PRIVATE LIMITED,Delhi,ZaubaCorp,"Director info, Sector classification",https://www.zaubacorp.com/company/U29199GJ2006PTC049105
U29199GJ2007PTC051126,HEENA EQUIPMENTS PRIVATE LIMITED,Delhi,ZaubaCorp,"Director info, Sector classification",https://www.zaubacorp.com/company/U29199GJ2007PTC051126
U29200GJ2021PTC127633,QLIFE WATER SOLUTIONS INDIA PRIVATE LIMITED,Delhi,ZaubaCorp,"Director info, Sector classification",https://www.zaubacorp.com/company/U29200GJ2021PTC127633
U29214GJ1997PTC032896,KUMAR METACRAFT PRIVATE LIMITED,Delhi,ZaubaCorp,"Director info, Sector classification",https://www.zaubacorp.com/company/U29214GJ1997PTC032896
U29219GJ1996PTC030813,RAJPUTANA BIOTECH PRIVATE LIMITED,Delhi,ZaubaCorp,"Director info, Sector classification",https://www.zaubacorp.com/company/U29219GJ1996PTC030813
U29219GJ2007PTC050094,PRIME WEIGHING SCALE PRIVATE LIMITED,Delhi,ZaubaCorp,"Director info, Sector classification",https://www.zaubacorp.com/company/U29219GJ2007PTC050094
